8	aminocoumarin antibiotic	aminoglycoside antibiotic	antibacterial free fatty acids	bicyclomycin-like antibiotic	carbapenem	cephalosporin	cephamycin	diaminopyrimidine antibiotic	diarylquinoline antibiotic	disinfecting agents and antiseptics	elfamycin antibiotic	fluoroquinolone antibiotic	fusidane antibiotic	glycopeptide antibiotic	glycylcycline	isoniazid-like antibiotic	lincosamide antibiotic	macrolide antibiotic	monobactam	mupirocin-like antibiotic	nitrofuran antibiotic	nitroimidazole antibiotic	nucleoside antibiotic	nybomycin-like antibiotic	oxazolidinone antibiotic	pactamycin-like antibiotic	penam	penem	peptide antibiotic	phenicol antibiotic	phosphonic acid antibiotic	pleuromutilin antibiotic	polyamine antibiotic	pyrazine antibiotic	rifamycin antibiotic	salicylic acid antibiotic	streptogramin A antibiotic	streptogramin B antibiotic	streptogramin antibiotic	sulfonamide antibiotic	sulfone antibiotic	tetracycline antibiotic	thioamide antibiotic	zoliflodacin-like antibiotic
Argentina	37	31	0	3	33	38	24	48	0	48	1	72	0	16	7	0	10	73	32	0	0	0	5	5	1	0	38	19	32	79	1	10	0	0	2	0	10	10	10	16	0	77	0	0
Australia	7369	7844	0	274	7479	8418	5685	8090	0	10223	288	14132	39	5711	2968	2	2991	16589	7539	9	3	2	2509	695	540	0	8428	4310	8466	15816	247	2979	0	0	666	0	2986	2980	2997	3210	111	17412	0	0
Austria	379	361	0	12	410	417	276	496	0	581	11	750	0	204	111	0	104	838	362	0	0	0	91	43	13	0	431	224	359	823	10	104	0	0	25	0	104	104	104	167	0	925	0	0
Bangladesh	765	870	0	29	800	947	567	958	0	1144	35	1559	9	581	289	0	313	1768	784	0	0	0	245	78	26	0	895	437	812	1773	23	313	0	0	64	0	313	313	314	351	40	1902	0	0
Belgium	5400	5593	0	204	5622	6179	3903	6683	0	7758	219	10726	0	3429	2034	0	1561	11669	5211	0	0	0	1706	447	162	0	6093	2954	5743	11747	174	1561	0	1	432	0	1561	1561	1561	2239	79	13019	0	0
Brazil	180	356	0	5	177	226	148	177	0	242	27	407	0	556	276	4	320	606	158	1	3	5	251	21	25	0	255	109	409	622	41	315	0	6	79	0	315	315	315	73	4	570	0	2
Bulgaria	305	229	0	12	292	328	220	353	0	343	13	539	0	60	60	0	12	523	305	0	0	0	36	14	12	0	328	172	268	545	12	12	0	0	24	0	12	12	12	136	0	610	0	0
Cambodia	341	359	0	15	336	379	243	415	0	447	13	666	0	203	126	0	87	690	332	0	0	0	105	24	10	0	375	183	353	722	11	87	0	0	25	0	87	87	87	149	6	785	0	0
Cameroon	71	69	0	3	66	74	49	82	0	83	4	129	0	47	30	0	19	139	71	0	0	0	26	4	3	0	73	41	86	140	2	19	0	0	6	0	19	19	19	33	1	160	0	0
Canada	52285	53930	0	1982	52939	58536	38570	62189	0	67241	2446	98270	0	35643	21645	6	15799	108988	51951	0	27	0	18098	4071	1804	0	58092	29677	57738	110804	1714	15798	0	6	4206	0	15799	15799	15800	23027	309	121704	0	3
Chile	195	191	0	11	211	231	142	247	0	310	4	428	0	89	50	0	44	447	204	0	0	0	41	21	4	0	224	101	188	440	4	44	0	0	12	0	44	44	44	69	1	480	0	0
China	72064	74443	42	2871	76156	84790	54644	87702	1	104013	2420	148780	163	48118	26386	64	24633	160733	72131	64	101	67	22108	8614	3576	17	83871	41861	78840	159363	2630	24320	0	64	6499	10	24387	24435	24604	30792	640	173047	0	45
Colombia	998	1033	0	48	969	1073	698	1141	0	1258	54	1857	0	677	427	0	279	2029	1004	0	0	0	368	73	30	0	1069	528	1108	2060	31	279	0	0	73	0	279	279	280	398	4	2324	0	0
Czech Republic	826	898	0	33	816	918	585	990	0	1117	42	1592	0	615	337	0	302	1793	805	0	0	0	288	67	26	0	910	457	900	1815	29	302	0	0	64	0	302	302	302	346	6	1961	0	6
Denmark	4810	4752	0	217	4864	5427	3472	5830	0	6675	174	9316	1	2735	1639	0	1270	10015	4739	1	0	0	1325	312	181	0	5390	2674	4980	10076	163	1266	0	0	366	0	1268	1268	1268	2030	3	11181	0	0
Ecuador	2931	2805	0	144	2920	3228	2008	3472	0	4356	92	5776	2	1323	792	0	600	6239	2790	1	0	0	662	265	67	0	3203	1499	2730	6024	65	600	0	0	181	0	600	600	600	1113	36	6894	0	0
Egypt	113	110	0	5	115	129	89	134	0	142	5	211	0	68	43	0	29	224	115	0	0	0	34	6	5	0	129	66	118	238	5	29	0	0	9	0	29	29	29	54	3	256	0	0
Estonia	683	580	0	28	660	744	485	782	0	799	34	1235	0	198	168	0	61	1240	683	0	0	0	113	28	31	0	748	373	629	1256	21	60	0	0	61	0	61	61	61	286	0	1438	0	0
France	32211	31695	0	1319	32421	35993	23700	38582	0	42081	1313	60181	0	18157	11667	1	7667	64738	32134	0	8	1	9419	2070	1108	0	35731	18414	33359	66038	1093	7667	0	0	2484	0	7667	7667	7667	14422	296	73202	0	0
Germany	25312	26294	0	1109	26338	28972	18975	31414	0	34715	1015	48835	0	14829	9493	0	6226	52436	25018	0	13	0	7741	1660	883	0	29374	14493	26729	53747	867	6226	0	0	1953	0	6226	6226	6229	11200	163	59830	0	0
Ghana	88	84	0	4	88	102	68	106	0	110	3	163	0	35	29	0	9	163	92	0	0	0	23	4	4	0	102	56	98	166	3	9	0	0	8	0	9	9	9	40	0	194	0	0
Greece	584	521	0	24	602	678	421	665	0	825	22	1143	0	282	176	0	143	1219	580	1	7	1	123	64	25	0	662	324	571	1170	50	143	0	0	80	0	143	143	147	219	4	1327	0	0
Haiti	297	387	0	10	300	349	210	362	0	384	11	547	0	208	128	0	90	613	279	0	0	0	107	16	11	0	342	167	320	633	9	90	0	0	23	0	90	90	90	128	7	695	0	0
Hong Kong	229	243	0	11	247	282	182	279	0	301	9	450	0	137	83	0	62	479	240	0	0	0	67	13	8	0	280	142	245	491	9	62	0	0	18	0	62	62	62	101	0	545	0	0
Hungary	409	346	0	17	422	471	315	501	0	522	17	769	0	94	88	0	23	749	415	0	0	0	54	19	17	0	481	246	369	779	17	23	0	0	34	0	23	23	23	194	6	877	0	0
India	3004	3245	0	125	3199	3608	2251	3707	0	4207	123	6004	2	1746	988	2	933	6618	3025	0	2	0	787	313	162	0	3459	1740	3115	6639	92	874	0	4	323	0	882	885	896	1334	87	7111	0	1
Iraq	208	286	0	7	189	246	149	238	0	235	32	441	1	276	156	2	149	473	193	0	12	2	128	26	25	0	236	122	310	486	37	151	0	0	50	0	149	160	160	89	13	518	0	0
Ireland	25	19	0	1	26	29	18	29	0	28	1	44	0	5	5	0	1	43	27	0	0	0	3	1	1	0	29	14	22	45	1	1	0	0	2	0	1	1	1	11	0	50	0	0
Israel	608	547	0	31	631	677	450	740	0	995	11	1299	2	208	117	0	107	1327	583	0	0	0	93	72	12	0	666	318	539	1298	13	107	0	0	28	0	107	107	107	235	1	1438	0	0
Kazakhstan	253	263	0	12	247	279	156	321	0	379	10	517	0	157	93	0	70	546	242	0	0	0	82	24	5	0	278	125	255	545	7	70	0	0	13	0	70	70	70	93	2	622	0	0
Lebanon	720	696	0	32	724	813	531	875	0	909	32	1346	0	366	257	0	139	1410	714	0	0	0	198	40	29	0	813	411	744	1460	31	139	0	0	61	0	139	139	139	317	1	1626	0	0
Malaysia	920	984	0	28	972	1112	751	1075	0	1279	32	1956	4	862	379	2	510	2214	933	0	1	0	329	141	56	0	1107	589	1123	2099	22	510	0	0	80	0	510	510	510	429	1	2215	0	0
Mexico	1525	1271	0	59	1651	1773	1267	1737	0	1996	25	3038	0	700	332	1	419	3136	1614	0	4	1	248	211	96	0	1776	1007	1503	3046	49	419	0	0	86	0	419	419	419	765	6	3193	0	0
Myanmar	27	27	0	1	32	34	23	33	0	39	1	55	0	24	7	0	18	70	30	0	0	0	5	3	4	0	33	18	28	69	1	18	0	0	3	0	18	18	18	13	1	66	0	0
Netherlands	4183	4005	0	195	4297	4806	3097	4991	0	5884	148	8154	0	1900	1144	1	910	8628	4127	1	9	1	865	355	147	0	4767	2374	3962	8645	141	907	0	1	335	0	907	911	921	1824	99	9521	0	0
New Zealand	1792	1497	0	84	1804	1926	1251	2195	0	2576	38	3601	0	515	303	0	225	3647	1764	0	0	0	254	169	39	0	1897	944	1527	3610	39	222	0	0	60	0	222	222	222	678	0	4000	0	0
Nigeria	86	123	0	5	91	89	58	106	0	119	5	148	0	132	72	0	62	218	87	0	0	0	67	5	3	0	86	43	129	217	3	62	0	0	5	0	62	62	62	35	1	239	0	0
Pakistan	13285	12333	0	598	14062	15316	9630	16424	0	19968	376	26873	0	4811	3048	0	2077	27719	13065	0	0	0	2437	1455	291	0	15002	7274	12280	27573	301	2077	0	0	845	0	2077	2077	2077	5620	350	30971	0	0
Peru	426	432	0	16	427	487	324	492	0	514	30	840	0	284	189	0	124	872	405	0	10	3	147	39	13	0	479	247	452	904	35	124	0	0	56	0	124	124	124	173	8	992	0	0
Poland	4183	4239	0	173	4318	4877	3249	4935	0	5171	213	7582	0	1979	1359	0	801	7983	4160	0	9	0	1018	199	160	0	4914	2587	4217	8316	177	801	0	0	369	0	801	801	802	2033	190	9046	0	0
Qatar	56	79	0	5	61	68	44	71	0	79	5	114	0	54	32	0	22	127	60	0	0	0	27	3	4	0	67	33	70	140	2	22	0	0	5	0	22	22	27	29	6	145	0	0
Russia	2309	2017	0	99	2386	2600	1620	2832	0	3547	43	4716	0	760	478	0	347	4832	2242	1	1	2	367	245	54	0	2554	1207	2079	4800	60	345	0	0	153	0	345	345	345	923	44	5411	0	0
Saudi Arabia	2286	2396	0	100	2373	2602	1645	2766	0	3206	84	4400	0	1222	788	0	505	4702	2296	0	1	0	659	180	64	0	2584	1283	2307	4787	82	504	0	0	168	0	504	504	504	1016	93	5415	0	0
Serbia	4678	4607	0	187	4715	5398	3466	5483	0	5522	206	8416	0	1287	1069	0	391	8354	4772	0	4	0	692	201	190	0	5401	2766	4151	8780	178	390	0	0	390	0	391	391	394	2219	157	9648	0	0
Singapore	10358	12576	0	438	10860	12019	7997	12877	0	13353	494	19855	0	8252	4745	0	3628	22558	10387	0	0	0	4037	772	541	0	11936	6045	11652	23220	351	3628	0	0	831	0	3628	3628	4191	4815	318	24580	0	0
South Korea	0	18	0	0	0	0	0	0	0	0	0	0	0	44	18	0	26	26	0	0	0	0	18	0	0	0	0	0	18	26	0	26	0	0	0	0	26	26	26	0	0	18	0	0
Spain	10187	9617	0	430	9941	11357	7331	11838	0	12963	423	18813	60	4472	2884	0	1950	19992	10071	43	1	0	2243	628	468	0	11362	5632	9958	20090	420	1913	0	0	802	0	1949	1991	1995	4537	296	22204	0	0
Sudan	53	58	0	2	51	59	39	60	0	61	3	92	1	37	26	0	13	102	55	0	0	0	22	3	4	0	57	32	62	107	2	13	0	0	4	0	13	13	13	26	2	124	0	0
Sweden	201	199	0	6	212	244	151	265	0	290	6	421	0	116	69	0	55	426	186	0	0	0	56	20	7	0	243	114	207	455	7	54	0	0	21	0	54	54	54	86	3	475	0	0
Switzerland	5379	5647	0	235	5448	5991	3968	6546	0	7405	238	10239	0	3885	2340	0	1742	11302	5370	0	0	0	1954	304	197	0	5969	3093	6066	11512	205	1740	0	0	412	0	1741	1741	1741	2413	12	12838	0	0
Taiwan	53	36	0	2	54	61	46	61	0	59	4	101	0	39	8	0	32	113	61	0	0	0	6	6	7	0	61	43	57	115	1	32	0	0	3	0	32	32	32	32	0	98	0	0
Thailand	845	973	0	34	880	1025	619	1055	0	1227	40	1734	0	603	375	0	262	1835	849	0	3	1	314	86	27	0	989	490	959	1893	32	260	0	0	76	0	262	262	269	364	21	2104	0	0
Turkey	981	938	0	40	993	1118	724	1115	0	1159	44	1838	0	367	294	0	128	1834	986	0	7	1	197	44	42	0	1141	560	936	1833	34	128	0	0	103	0	128	128	128	418	2	2145	0	0
USA	161127	155943	3	6487	165433	183198	118592	193781	0	222996	6218	314135	92	81321	50732	66	37142	334058	160356	25	138	104	39796	13500	5710	1	182952	91991	162322	332781	5741	36729	2	5	13097	1	36728	36747	36897	68785	1372	371431	0	35
Ukraine	96	107	0	3	102	115	73	113	0	131	7	178	0	76	40	0	40	212	100	0	0	0	34	7	3	0	112	55	101	209	3	39	0	0	7	0	40	40	40	45	4	230	0	0
United Kingdom	10664	11875	0	472	11102	12384	8130	13098	0	14108	501	20537	2	7952	4810	2	3525	22690	10686	0	4	3	4017	668	416	0	12402	6307	12335	23425	412	3521	1	2	894	1	3525	3521	3525	4814	34	25685	0	0
Viet Nam	36	44	0	1	32	37	24	43	0	47	2	66	0	38	22	0	17	83	34	0	0	0	19	2	2	0	37	17	46	84	2	17	0	0	3	0	17	17	17	13	0	92	0	0
uncalculated	23277	23314	0	890	24106	27362	18180	27116	0	31641	993	47238	76	16316	9273	46	8507	50261	23146	1	79	84	7566	2512	1196	0	27531	14268	25803	49865	1533	8329	4	20	2644	1	8334	8339	8381	10536	214	54248	1	2
